gu_code,adong_code,adong_name
11110,1111051500,청운효자동
11110,1111053000,사직동
11110,1111054000,삼청동
11110,1111055000,부암동
11110,1111056000,평창동
11110,1111057000,무악동
11110,1111058000,교남동
11110,1111060000,가회동
11110,1111061500,종로1·2·3·4가동
11110,1111063000,종로5·6가동
11110,1111064000,이화동
11110,1111065000,혜화동
11110,1111067000,창신1동
11110,1111068000,창신2동
11110,1111069000,창신3동
11110,1111070000,숭인1동
11110,1111071000,숭인2동
11140,1114052000,소공동
11140,1114054000,회현동
11140,1114055000,명동
11140,1114057000,필동
11140,1114058000,장충동
11140,1114059000,광희동
11140,1114060500,을지로동
11140,1114061500,신당동
11140,1114062500,다산동
11140,1114063500,약수동
11140,1114064500,청구동
11140,1114065000,신당5동
11140,1114066500,동화동
11140,1114067000,황학동
11140,1114068000,중림동
11170,1117051000,후암동
11170,1117052000,용산2가동
11170,1117053000,남영동
11170,1117055500,청파동
11170,1117056000,원효로1동
11170,1117057000,원효로2동
11170,1117058000,효창동
11170,1117059000,용문동
11170,1117062500,한강로동
11170,1117063000,이촌1동
11170,1117064000,이촌2동
11170,1117065000,이태원1동
11170,1117066000,이태원2동
11170,1117068500,한남동
11170,1117069000,서빙고동
11170,1117070000,보광동
11200,1120052000,왕십리2동
11200,1120053500,왕십리도선동
11200,1120054000,마장동
11200,1120055000,사근동
11200,1120056000,행당1동
11200,1120057000,행당2동
11200,1120058000,응봉동
11200,1120059000,금호1가동
11200,1120061500,금호2·3가동
11200,1120062000,금호4가동
11200,1120064500,옥수동
11200,1120065000,성수1가1동
11200,1120066000,성수1가2동
11200,1120067000,성수2가1동
11200,1120069000,성수2가3동
11200,1120072000,송정동
11200,1120079000,용답동
11215,1121571000,화양동
11215,1121573000,군자동
11215,1121574000,중곡1동
11215,1121575000,중곡2동
11215,1121576000,중곡3동
11215,1121577000,중곡4동
11215,1121578000,능동
11215,1121581000,광장동
11215,1121582000,자양1동
11215,1121583000,자양2동
11215,1121584000,자양3동
11215,1121584700,자양4동
11215,1121585000,구의1동
11215,1121586000,구의2동
11215,1121587000,구의3동
11230,1123053600,용신동
11230,1123054500,제기동
11230,1123056000,전농1동
11230,1123057000,전농2동
11230,1123060000,답십리1동
11230,1123061000,답십리2동
11230,1123065000,장안1동
11230,1123066000,장안2동
11230,1123070500,청량리동
11230,1123071000,회기동
11230,1123072000,휘경1동
11230,1123073000,휘경2동
11230,1123074000,이문1동
11230,1123075000,이문2동
11260,1126052000,면목2동
11260,1126054000,면목4동
11260,1126055000,면목5동
11260,1126056500,면목본동
11260,1126057000,면목7동
11260,1126057500,면목3·8동
11260,1126058000,상봉1동
11260,1126059000,상봉2동
11260,1126060000,중화1동
11260,1126061000,중화2동
11260,1126062000,묵1동
11260,1126063000,묵2동
11260,1126065500,망우본동
11260,1126066000,망우3동
11260,1126068000,신내1동
11260,1126069000,신내2동
11290,1129052500,성북동
11290,1129055500,삼선동
11290,1129057500,동선동
11290,1129058000,돈암1동
11290,1129059000,돈암2동
11290,1129060000,안암동
11290,1129061000,보문동
11290,1129062000,정릉1동
11290,1129063000,정릉2동
11290,1129064000,정릉3동
11290,1129065000,정릉4동
11290,1129066000,길음1동
11290,1129068500,길음2동
11290,1129070500,종암동
11290,1129071500,월곡1동
11290,1129072500,월곡2동
11290,1129076000,장위1동
11290,1129077000,장위2동
11290,1129078000,장위3동
11290,1129081000,석관동
11305,1130553400,삼양동
11305,1130553500,미아동
11305,1130554500,송중동
11305,1130555500,송천동
11305,1130557500,삼각산동
11305,1130559500,번1동
11305,1130560300,번2동
11305,1130560800,번3동
11305,1130561500,수유1동
11305,1130562500,수유2동
11305,1130563500,수유3동
11305,1130564500,우이동
11305,1130566000,인수동
11320,1132051100,창1동
11320,1132051200,창2동
11320,1132051300,창3동
11320,1132051400,창4동
11320,1132051500,창5동
11320,1132052100,도봉1동
11320,1132052200,도봉2동
11320,1132066000,쌍문1동
11320,1132067000,쌍문2동
11320,1132068000,쌍문3동
11320,1132068100,쌍문4동
11320,1132069000,방학1동
11320,1132070000,방학2동
11320,1132071000,방학3동
11350,1135056000,월계1동
11350,1135057000,월계2동
11350,1135058000,월계3동
11350,1135059500,공릉1동
11350,1135060000,공릉2동
11350,1135061100,하계1동
11350,1135061200,하계2동
11350,1135061900,중계본동
11350,1135062100,중계1동
11350,1135062400,중계4동
11350,1135062500,중계2·3동
11350,1135063000,상계1동
11350,1135064000,상계2동
11350,1135066500,상계3·4동
11350,1135067000,상계5동
11350,1135069500,상계6·7동
11350,1135070000,상계8동
11350,1135071000,상계9동
11350,1135072000,상계10동
11380,1138051000,녹번동
11380,1138052000,불광1동
11380,1138053000,불광2동
11380,1138055100,갈현1동
11380,1138055200,갈현2동
11380,1138056000,구산동
11380,1138057000,대조동
11380,1138058000,응암1동
11380,1138059000,응암2동
11380,1138060000,응암3동
11380,1138062500,역촌동
11380,1138063100,신사1동
11380,1138063200,신사2동
11380,1138064000,증산동
11380,1138065000,수색동
11380,1138069000,진관동
11410,1141052000,천연동
11410,1141055500,북아현동
11410,1141056500,충현동
11410,1141058500,신촌동
11410,1141061500,연희동
11410,1141062000,홍제1동
11410,1141064000,홍제3동
11410,1141065500,홍제2동
11410,1141066000,홍은1동
11410,1141068500,홍은2동
11410,1141069000,남가좌1동
11410,1141070000,남가좌2동
11410,1141071000,북가좌1동
11410,1141072000,북가좌2동
11440,1144055500,아현동
11440,1144056500,공덕동
11440,1144058500,도화동
11440,1144059000,용강동
11440,1144060000,대흥동
11440,1144061000,염리동
11440,1144063000,신수동
11440,1144065500,서강동
11440,1144066000,서교동
11440,1144068000,합정동
11440,1144069000,망원1동
11440,1144070000,망원2동
11440,1144071000,연남동
11440,1144072000,성산1동
11440,1144073000,성산2동
11440,1144074000,상암동
11470,1147051000,목1동
11470,1147052000,목2동
11470,1147053000,목3동
11470,1147054000,목4동
11470,1147055000,목5동
11470,1147056000,신월1동
11470,1147057000,신월2동
11470,1147058000,신월3동
11470,1147059000,신월4동
11470,1147060000,신월5동
11470,1147061000,신월6동
11470,1147061100,신월7동
11470,1147062000,신정1동
11470,1147063000,신정2동
11470,1147064000,신정3동
11470,1147065000,신정4동
11470,1147067000,신정6동
11470,1147068000,신정7동
11500,1150051000,염창동
11500,1150052000,등촌1동
11500,1150053000,등촌2동
11500,1150053500,등촌3동
11500,1150054000,화곡1동
11500,1150055000,화곡2동
11500,1150056000,화곡3동
11500,1150057000,화곡4동
11500,1150059000,화곡본동
11500,1150059100,화곡6동
11500,1150059300,화곡8동
11500,1150060300,가양1동
11500,1150060400,가양2동
11500,1150060500,가양3동
11500,1150061100,발산1동
11500,1150061500,우장산동
11500,1150062000,공항동
11500,1150063000,방화1동
11500,1150064000,방화2동
11500,1150064100,방화3동
11530,1153051000,신도림동
11530,1153052000,구로1동
11530,1153053000,구로2동
11530,1153054000,구로3동
11530,1153055000,구로4동
11530,1153056000,구로5동
11530,1153059500,가리봉동
11530,1153072000,고척1동
11530,1153073000,고척2동
11530,1153074000,개봉1동
11530,1153075000,개봉2동
11530,1153076000,개봉3동
11530,1153077000,오류1동
11530,1153078000,오류2동
11530,1153079000,수궁동
11530,1153080000,항동
11545,1154551000,가산동
11545,1154561000,독산1동
11545,1154562000,독산2동
11545,1154563000,독산3동
11545,1154564000,독산4동
11545,1154567000,시흥1동
11545,1154568000,시흥2동
11545,1154569000,시흥3동
11545,1154570000,시흥4동
11545,1154571000,시흥5동
11560,1156051500,영등포본동
11560,1156053500,영등포동
11560,1156054000,여의동
11560,1156055000,당산1동
11560,1156056000,당산2동
11560,1156058500,도림동
11560,1156060500,문래동
11560,1156061000,양평1동
11560,1156062000,양평2동
11560,1156063000,신길1동
11560,1156065000,신길3동
11560,1156066000,신길4동
11560,1156067000,신길5동
11560,1156068000,신길6동
11560,1156069000,신길7동
11560,1156070000,대림1동
11560,1156071000,대림2동
11560,1156072000,대림3동
11590,1159051000,노량진1동
11590,1159052000,노량진2동
11590,1159053000,상도1동
11590,1159054000,상도2동
11590,1159055000,상도3동
11590,1159056000,상도4동
11590,1159060500,흑석동
11590,1159062000,사당1동
11590,1159063000,사당2동
11590,1159064000,사당3동
11590,1159065000,사당4동
11590,1159065100,사당5동
11590,1159066000,대방동
11590,1159067000,신대방1동
11590,1159068000,신대방2동
11620,1162052500,보라매동
11620,1162054500,청림동
11620,1162056500,성현동
11620,1162057500,행운동
11620,1162058500,낙성대동
11620,1162059500,청룡동
11620,1162060500,은천동
11620,1162061500,중앙동
11620,1162062500,인헌동
11620,1162063000,남현동
11620,1162064500,서원동
11620,1162065500,신원동
11620,1162066500,서림동
11620,1162068500,신사동
11620,1162069500,신림동
11620,1162071500,난향동
11620,1162072500,조원동
11620,1162073500,대학동
11620,1162074500,삼성동
11620,1162076500,미성동
